Date,Event,Opponent,Map,Result,W/L
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Cache,13 - 7,W
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Mirage,13 - 4,W
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Inferno,11 - 13,L
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Anubis,13 - 4,W
20/09/26,StarLadder StarSeries Fall 2026,FURIA,Anubis,13 - 8,W
20/09/26,StarLadder StarSeries Fall 2026,FURIA,Cache,13 - 5,W
19/09/26,StarLadder StarSeries Fall 2026,Aurora,Nuke,8 - 13,L
19/09/26,StarLadder StarSeries Fall 2026,Aurora,Inferno,13 - 11,W
19/09/26,StarLadder StarSeries Fall 2026,Aurora,Anubis,7 - 13,L
18/09/26,StarLadder StarSeries Fall 2026,FURIA,Dust2,13 - 5,W
18/09/26,StarLadder StarSeries Fall 2026,FURIA,Mirage,13 - 8,W
17/09/26,StarLadder StarSeries Fall 2026,magic,Dust2,13 - 9,W
17/09/26,StarLadder StarSeries Fall 2026,magic,Mirage,13 - 6,W
05/09/26,BLAST Open Porto 2026,MOUZ,Mirage,7 - 13,L
05/09/26,BLAST Open Porto 2026,MOUZ,Dust2,11 - 13,L
04/09/26,BLAST Open Porto 2026,FURIA,Dust2,13 - 4,W
04/09/26,BLAST Open Porto 2026,FURIA,Cache,13 - 11,W
04/09/26,BLAST Open Porto 2026,FURIA,Nuke,6 - 13,L
31/08/26,BLAST Open Porto 2026,FUT,Dust2,13 - 8,W
31/08/26,BLAST Open Porto 2026,FUT,Anubis,13 - 7,W
30/08/26,BLAST Open Porto 2026,Legacy,Dust2,13 - 8,W
30/08/26,BLAST Open Porto 2026,Legacy,Mirage,9 - 13,L
30/08/26,BLAST Open Porto 2026,Legacy,Nuke,16 - 14,W
29/08/26,BLAST Open Porto 2026,9z,Nuke,13 - 6,W
29/08/26,BLAST Open Porto 2026,9z,Dust2,13 - 2,W
27/08/26,BLAST Open Porto 2026,Inner Circle,Cache,13 - 16,L
27/08/26,BLAST Open Porto 2026,Inner Circle,Anubis,8 - 13,L
21/08/26,Esports World Cup 2026,Spirit,Mirage,3 - 13,L
21/08/26,Esports World Cup 2026,Spirit,Nuke,16 - 14,W
21/08/26,Esports World Cup 2026,Spirit,Anubis,11 - 13,L
20/08/26,Esports World Cup 2026,FaZe,Cache,13 - 6,W
20/08/26,Esports World Cup 2026,FaZe,Dust2,13 - 11,W
16/08/26,Esports World Cup 2026,Lynn Vision,Inferno,13 - 5,W
16/08/26,Esports World Cup 2026,Lynn Vision,Dust2,13 - 2,W
14/08/26,Esports World Cup 2026,B8,Dust2,4 - 13,L
14/08/26,Esports World Cup 2026,B8,Inferno,11 - 13,L
14/08/26,Esports World Cup 2026,B8,Mirage,16 - 12,W
12/08/26,Esports World Cup 2026,100 Thieves,Nuke,13 - 4,W
24/07/26,BLAST Bounty 2026 Season 2,Liquid,Nuke,9 - 13,L
24/07/26,BLAST Bounty 2026 Season 2,Liquid,Anubis,10 - 13,L
19/06/26,IEM Cologne Major 2026,Falcons,Dust2,11 - 13,L
19/06/26,IEM Cologne Major 2026,Falcons,Inferno,13 - 11,W
19/06/26,IEM Cologne Major 2026,Falcons,Anubis,11 - 13,L
14/06/26,IEM Cologne Major 2026,BETBOOM,Nuke,13 - 11,W
14/06/26,IEM Cologne Major 2026,BETBOOM,Overpass,13 - 8,W
13/06/26,IEM Cologne Major 2026,MOUZ,Inferno,13 - 4,W
13/06/26,IEM Cologne Major 2026,MOUZ,Dust2,7 - 13,L
13/06/26,IEM Cologne Major 2026,MOUZ,Mirage,13 - 9,W
12/06/26,IEM Cologne Major 2026,9z,Dust2,11 - 13,L
12/06/26,IEM Cologne Major 2026,9z,Mirage,9 - 13,L
12/06/26,IEM Cologne Major 2026,9z,Inferno,13 - 4,W
11/06/26,IEM Cologne Major 2026,FUT,Nuke,13 - 8,W
11/06/26,IEM Cologne Major 2026,FUT,Overpass,13 - 2,W
11/06/26,IEM Cologne Major 2026,FUT,Anubis,5 - 13,L
15/05/26,IEM Atlanta 2026,Natus Vincere,Inferno,3 - 13,L
15/05/26,IEM Atlanta 2026,Natus Vincere,Anubis,11 - 13,L
15/05/26,IEM Atlanta 2026,Natus Vincere,Dust2,13 - 11,W
13/05/26,IEM Atlanta 2026,B8,Dust2,13 - 8,W
13/05/26,IEM Atlanta 2026,B8,Mirage,13 - 5,W
13/05/26,IEM Atlanta 2026,FaZe,Dust2,13 - 5,W
13/05/26,IEM Atlanta 2026,FaZe,Nuke,16 - 14,W
12/05/26,IEM Atlanta 2026,BETBOOM,Nuke,8 - 13,L
12/05/26,IEM Atlanta 2026,BETBOOM,Overpass,13 - 8,W
12/05/26,IEM Atlanta 2026,BETBOOM,Anubis,10 - 13,L
11/05/26,IEM Atlanta 2026,BC.Game,Dust2,13 - 10,W
11/05/26,IEM Atlanta 2026,BC.Game,Mirage,13 - 7,W
03/05/26,BLAST Rivals 2026 Season 1,Natus Vincere,Dust2,13 - 3,W
03/05/26,BLAST Rivals 2026 Season 1,Natus Vincere,Anubis,13 - 11,W
03/05/26,BLAST Rivals 2026 Season 1,Natus Vincere,Nuke,16 - 12,W
02/05/26,BLAST Rivals 2026 Season 1,GamerLegion,Overpass,16 - 14,W
